precinct_2020,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
1,66679,64416,50484,2162,89,10569,26,1086,2263,2098,348,115,1151,28,174,48,53,0,39,8,1,5,26,99,3,151,64,28,1,8,3,1,3,20,16,1,2,0,1,1,2,0,0,0,0,0,13,7,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,66679,4676,62003,60094,47231,1982,57,10520,23,281,1909,1784,280,85,1110,26,61,44,52,0,20,7,1,1,25,71,1,113,52,22,1,3,2,1,1,15,12,1,2,0,0,0,1,0,0,0,0,0,11,6,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
5,52568,51415,13436,2784,81,32795,18,2301,1153,1083,161,49,432,9,152,22,38,1,43,63,4,8,31,59,11,58,19,6,0,11,4,0,1,3,2,1,1,0,2,0,2,0,3,1,1,1,11,4,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,52568,5910,46658,45884,10739,2299,33,32708,13,92,774,742,89,37,412,7,17,18,33,1,3,60,2,0,30,33,0,27,9,6,0,0,4,0,0,2,1,0,1,0,0,0,0,0,3,1,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
6,62226,60490,53227,1316,80,5023,21,823,1736,1596,286,121,883,13,120,23,41,1,29,7,0,6,27,37,2,119,53,10,0,10,14,0,2,12,12,1,1,0,2,0,1,1,0,0,0,0,18,14,0,3,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,62226,3781,58445,56956,50468,1214,47,4983,20,224,1489,1384,244,92,863,8,45,20,35,1,9,7,0,0,27,32,1,90,41,8,0,5,12,0,1,12,8,1,1,0,0,0,1,0,0,0,0,0,13,11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
7,56355,54055,21520,5992,326,19328,28,6861,2300,2108,365,98,403,12,588,73,90,3,195,45,10,75,22,86,43,164,69,19,1,19,9,0,1,6,15,6,3,1,1,0,3,0,0,7,4,0,25,16,0,6,0,0,0,1,0,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0,0,56355,17976,38379,37470,13479,4578,95,19192,10,116,909,819,166,46,355,6,16,56,76,2,16,35,1,1,21,21,1,72,35,14,1,1,8,0,0,4,4,0,3,0,1,0,1,0,0,0,0,0,16,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
9,76443,73259,48175,6904,361,10946,45,6828,3184,2877,534,155,912,31,590,123,63,6,199,25,5,73,31,88,42,275,139,28,2,24,11,0,5,17,13,8,6,6,6,0,5,1,0,0,4,0,28,16,4,4,1,1,0,0,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,1,76443,18291,58152,56307,39560,5466,127,10831,28,295,1845,1693,370,112,858,24,62,81,51,5,25,23,0,2,30,49,1,136,74,22,1,4,9,0,1,14,4,0,5,1,0,0,1,0,0,0,0,0,14,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
10,50180,48333,35838,4171,170,5653,15,2486,1847,1670,407,113,545,9,288,75,32,6,77,16,4,20,12,54,12,161,86,14,1,15,0,0,1,5,15,3,5,0,5,1,7,0,0,0,3,0,12,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1,0,0,0,1,0,0,50180,8821,41359,40202,30799,3518,71,5604,12,198,1157,1062,250,75,509,8,58,59,28,6,9,14,2,0,12,31,1,88,50,10,0,6,0,0,0,5,10,0,5,0,0,0,2,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
13,93640,90828,70786,4864,194,12883,39,2062,2812,2562,429,108,1268,21,295,71,64,6,82,24,0,21,34,127,12,223,104,32,2,9,16,2,7,14,17,4,1,0,2,0,6,1,0,0,0,6,24,11,1,8,1,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,93640,8565,85075,82936,65354,4369,100,12785,31,297,2139,1975,287,84,1208,19,69,59,59,6,26,20,0,1,33,99,5,151,75,22,2,3,13,2,1,13,10,0,1,0,0,0,3,0,0,0,0,6,12,9,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
14,20651,20019,12868,1481,56,4964,13,637,632,586,91,31,196,13,92,29,16,0,34,18,0,10,19,31,6,42,26,1,1,4,4,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20651,2198,18453,18005,11605,1353,34,4933,11,69,448,414,45,25,188,11,34,25,14,0,7,18,0,1,16,27,3,33,19,1,1,3,4,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,79126,77567,63691,1711,71,11097,45,952,1559,1455,216,47,774,17,143,14,46,2,17,8,1,10,22,135,3,97,29,22,0,5,7,0,1,10,15,2,2,0,0,3,0,0,0,0,0,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,79126,4595,74531,73194,60226,1583,44,11038,35,268,1337,1261,177,39,751,17,52,11,45,1,9,6,0,0,21,129,3,73,20,21,0,0,7,0,1,9,12,0,1,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,54066,52216,37624,3106,168,8462,27,2829,1850,1721,262,98,570,14,407,32,61,5,95,21,0,24,25,98,9,121,59,4,0,17,9,0,2,13,12,2,2,0,1,0,0,0,0,0,0,0,7,2,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,54066,8883,45183,44019,32682,2637,68,8389,25,218,1164,1088,179,60,537,13,65,25,60,5,30,20,0,1,24,68,1,73,40,2,0,2,6,0,1,12,8,0,2,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,208259,203870,178395,5365,231,16859,57,2963,4389,4098,610,243,2094,49,519,67,124,8,99,25,2,24,38,176,20,261,118,47,0,18,14,1,3,22,24,0,0,1,2,3,4,1,0,0,2,1,29,19,3,3,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,208259,13827,194432,190952,168711,4817,116,16727,48,533,3480,3298,469,189,2021,46,153,48,111,6,48,23,1,0,36,139,8,160,68,31,0,7,10,1,0,20,14,0,0,1,0,3,4,1,0,0,0,0,21,16,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,102624,100080,84116,4511,183,9024,34,2212,2544,2359,337,135,1206,22,302,63,54,3,89,10,1,21,29,75,12,173,77,23,1,11,14,0,2,20,16,0,2,0,2,0,2,1,0,1,0,1,11,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,102624,8609,94015,92070,78880,3855,87,8958,25,265,1945,1822,258,107,1148,22,65,55,49,2,12,9,1,4,29,61,0,117,50,17,1,2,11,0,1,18,10,0,2,0,1,0,2,1,0,0,0,1,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,25,6,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,19,19,2,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,73106,69507,24574,22948,733,5553,77,15622,3599,3271,592,63,268,15,996,205,67,22,610,55,8,153,38,130,49,293,142,17,1,45,2,0,4,7,14,10,2,0,8,0,12,9,0,6,5,9,29,11,0,17,0,1,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,73106,36656,36450,35344,10864,18582,131,5428,58,281,1106,986,271,15,237,7,39,145,59,19,58,45,0,2,35,52,2,105,55,12,0,8,2,0,0,7,5,0,2,0,3,0,4,2,0,0,0,5,11,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
24,106460,102158,72133,14662,458,7063,55,7787,4302,3859,876,176,994,32,801,192,100,19,362,24,4,96,21,116,46,402,209,34,1,56,10,3,20,12,11,4,4,0,13,4,10,0,2,5,2,2,36,16,0,15,0,4,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,2,2,106460,22738,83722,81494,61970,11979,134,6975,30,406,2228,2026,499,100,937,20,74,139,89,17,47,22,1,5,20,54,2,188,121,24,1,5,5,1,0,12,7,1,2,0,0,4,4,0,0,0,0,1,13,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
25,47405,44920,10886,21943,608,1300,41,10142,2485,2268,474,46,110,3,710,227,71,17,437,13,0,95,3,34,28,197,115,10,2,19,4,0,9,1,6,3,6,1,8,1,3,3,1,3,2,0,18,6,1,10,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,47405,22634,24771,24064,3578,19008,114,1226,6,132,707,637,219,17,100,1,16,147,57,15,52,4,0,0,1,5,3,58,34,8,2,4,2,0,0,1,1,0,3,0,0,1,1,0,1,0,0,0,10,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
26,49508,47048,23703,11610,326,6220,29,5160,2460,2229,485,108,661,11,356,98,70,9,228,10,3,61,21,76,32,213,97,26,1,36,10,1,2,5,8,0,4,2,8,0,4,2,0,3,4,0,15,7,0,3,1,1,0,1,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,49508,12277,37231,35842,19207,10158,113,6163,23,178,1389,1266,277,64,629,7,34,82,68,5,30,6,1,2,20,41,0,114,62,22,1,5,6,0,0,5,6,0,1,2,0,0,2,0,0,2,0,0,9,4,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,44781,42566,9799,27033,321,1607,43,3763,2215,1934,526,64,221,12,223,251,118,28,347,19,0,46,2,41,36,250,141,24,5,11,5,0,3,3,13,3,5,2,23,3,1,7,1,0,0,0,27,16,1,4,0,0,1,0,2,0,0,1,0,0,1,1,4,3,1,0,0,0,0,0,0,44781,9393,35388,34184,7227,25067,114,1570,27,179,1204,1057,350,37,218,8,14,165,103,26,96,14,0,7,1,17,1,136,88,15,3,3,2,0,0,3,6,1,4,0,3,3,1,3,1,0,0,0,7,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,0
30,60685,56601,14707,21103,816,1465,42,18468,4084,3730,701,113,178,5,1264,169,88,37,726,18,5,229,10,107,80,322,135,22,1,83,5,4,11,2,12,4,4,4,10,1,5,1,0,10,6,2,29,6,0,14,1,2,0,0,1,2,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,60685,34825,25860,24895,6178,16951,161,1369,19,217,965,849,265,55,164,2,37,120,77,24,64,11,0,5,8,16,1,106,65,14,1,2,4,0,0,2,3,1,4,4,1,1,3,0,0,0,1,0,7,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
32,70942,68227,7498,51411,541,1282,33,7462,2715,2376,622,47,145,10,335,385,117,44,515,2,4,41,7,54,48,308,173,32,0,30,11,0,3,1,4,1,12,3,12,10,7,4,1,1,2,1,27,14,1,8,0,1,0,0,1,0,0,0,0,2,0,0,4,2,1,1,0,0,0,0,0,70942,16299,54643,53275,3823,47791,242,1217,19,183,1368,1163,398,34,132,4,14,305,98,34,114,2,3,0,5,20,0,184,119,22,0,15,3,0,0,1,1,0,7,2,2,7,4,1,0,0,0,0,18,13,0,3,0,0,0,0,0,0,0,0,0,2,0,0,3,1,1,1,0,0,0,0,0
33,76958,71025,22218,14215,1277,2315,62,30938,5933,5374,941,126,233,16,2034,152,68,16,996,37,19,361,12,150,213,521,149,41,2,154,4,5,19,0,23,12,5,0,21,0,6,13,2,52,11,2,30,5,0,18,0,0,1,1,0,2,0,0,2,0,0,1,8,4,3,0,1,0,0,0,0,76958,57168,19790,19009,7895,8619,113,2109,5,268,781,701,214,37,182,5,29,89,53,12,31,6,0,8,7,27,1,72,39,15,0,2,2,1,1,0,3,0,4,0,2,0,2,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,0,0,0,0
34,113062,104866,47323,12314,1462,2911,65,40791,8196,7416,1379,200,456,30,2817,122,72,26,1292,41,13,423,8,244,293,717,222,55,4,185,11,3,36,9,31,31,8,0,17,1,6,26,0,52,17,3,55,19,0,21,0,2,3,0,1,1,0,0,4,2,0,2,7,7,0,0,0,0,0,1,1,113062,77808,35254,34101,25547,5335,115,2685,15,404,1153,1029,280,73,386,12,62,58,61,8,24,13,0,3,5,40,4,107,50,18,0,6,6,0,1,7,6,0,3,0,5,1,1,1,0,1,0,1,17,10,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,91497,86028,21270,31385,1782,646,72,30873,5469,5127,607,81,62,16,1902,423,78,25,1201,39,13,293,3,110,274,321,74,14,3,56,0,1,7,4,6,27,6,6,64,4,3,23,1,10,10,2,19,5,0,6,1,0,0,0,0,0,0,0,0,4,3,0,2,0,0,1,0,0,1,0,0,91497,64887,26610,26043,1428,23680,177,525,17,216,567,518,148,7,40,6,9,114,50,17,85,19,0,1,3,17,2,49,22,10,0,0,0,0,0,3,0,0,5,1,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,52246,48506,12955,15828,1041,455,50,18177,3740,3451,589,106,39,3,1232,233,33,19,747,20,3,229,0,97,101,266,127,3,0,31,2,0,8,1,10,8,4,0,53,0,6,5,0,4,4,0,20,2,0,11,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,52246,39089,13157,12807,694,11536,92,331,10,144,350,306,87,19,21,2,13,67,27,7,37,6,1,2,0,16,1,42,25,3,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,79762,75079,13814,38416,1357,448,240,20804,4683,4348,587,64,40,14,1329,489,80,81,1112,18,14,282,3,104,131,315,68,19,2,57,0,0,18,0,2,6,6,0,79,3,10,16,1,18,7,3,15,5,0,3,0,2,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0,4,4,79762,46013,33749,33114,918,31387,230,358,22,199,635,557,146,11,16,2,18,160,57,61,67,6,1,3,0,5,4,70,35,10,2,4,0,0,1,0,0,0,5,0,7,0,5,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,4
43,172122,162252,40191,65492,2207,10187,174,44001,9870,8997,1368,167,304,37,2715,602,345,90,1636,210,19,486,30,600,388,814,342,66,1,116,7,2,28,0,33,22,31,6,55,11,30,7,0,28,21,8,52,11,5,18,0,5,6,0,0,0,0,4,1,1,0,1,7,2,3,1,0,0,1,0,0,172122,99213,72909,70277,4739,53042,562,9866,71,1997,2632,2368,411,30,198,14,49,330,289,75,281,179,2,56,30,361,63,242,89,38,0,14,3,1,1,0,5,0,16,4,19,8,12,2,0,13,12,5,19,6,1,5,0,2,0,0,0,0,0,4,1,0,0,0,3,0,2,0,0,0,1,0,0
44,146441,137552,25956,58890,2114,2504,110,47978,8889,8248,1233,111,144,27,2932,512,134,95,1841,86,8,500,21,262,342,603,160,31,3,138,5,0,22,1,27,28,10,2,54,1,28,36,5,24,21,7,31,12,0,7,0,2,1,0,2,2,0,1,1,1,0,2,5,4,1,0,0,0,0,2,2,146441,92338,54103,52721,2193,47344,310,2232,26,616,1382,1243,268,17,105,4,16,271,99,86,159,50,1,15,20,109,23,130,62,20,2,6,1,0,0,1,7,0,4,0,5,0,12,0,1,3,0,6,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
45,120833,116361,61310,31256,792,5668,68,17267,4472,4065,916,108,307,33,1313,241,110,28,584,68,3,101,10,145,98,367,197,18,1,50,14,0,3,2,25,9,5,1,8,2,8,13,1,5,3,2,38,24,1,7,0,3,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,120833,44175,76658,75118,41615,26967,277,5506,33,720,1540,1381,387,60,259,26,83,176,99,25,79,58,1,8,10,95,15,145,77,11,0,7,6,0,0,2,12,6,3,0,1,1,7,6,1,3,2,0,13,9,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
46,128200,120132,23931,46932,2326,2140,133,44670,8068,7408,1308,117,70,20,2410,398,173,55,1610,91,18,545,7,254,332,618,200,27,4,78,1,1,30,1,26,33,14,1,60,2,19,41,2,25,44,9,35,2,0,8,1,1,1,0,1,4,2,2,10,2,0,1,1,1,0,0,0,0,0,6,6,128200,85600,42600,41479,1791,36795,318,1902,47,626,1121,995,236,11,35,3,34,215,150,43,118,35,2,19,7,82,5,118,59,19,1,3,0,0,4,0,2,3,6,0,6,2,2,5,0,4,0,2,7,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,1,1,0,0,0,0,0,0,0
47,152374,147258,21739,105538,1241,2982,89,15669,5116,4639,898,73,128,15,768,446,400,175,1001,70,9,116,25,342,173,441,172,36,1,64,4,0,3,1,18,7,18,4,29,8,36,21,0,6,10,3,32,13,0,6,4,1,0,0,0,0,0,0,3,4,1,0,2,2,0,0,0,0,0,2,2,152374,34919,117455,114957,10871,99102,587,2872,50,1475,2498,2266,456,28,111,4,44,333,373,164,338,55,3,17,19,266,55,216,90,21,1,24,0,0,0,0,5,1,7,2,10,6,30,14,0,1,1,3,14,7,0,1,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2
48,83266,78828,23662,28195,1377,1027,98,24469,4438,4142,698,88,101,12,1313,276,98,64,827,39,18,251,14,111,232,271,75,3,0,51,4,1,6,0,5,35,3,1,31,0,15,9,0,22,8,2,20,4,0,12,0,0,0,0,0,0,0,1,0,1,2,0,5,3,2,0,0,0,0,0,0,83266,53447,29819,29144,6219,21548,172,930,22,253,675,633,163,19,76,7,13,112,76,52,55,13,2,3,6,27,9,38,20,2,0,2,0,1,0,0,0,0,2,0,1,0,7,1,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
49,114712,109631,50305,28570,997,8838,75,20846,5081,4668,834,136,361,24,1562,239,171,87,638,49,9,181,19,276,82,382,160,19,2,96,1,0,8,8,10,22,2,3,8,9,8,15,0,4,5,2,30,12,1,8,0,1,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,0,1,1,114712,48721,65991,64397,31212,23367,265,8697,34,822,1594,1487,277,42,314,14,115,139,148,82,86,36,1,10,19,189,15,94,52,8,2,7,1,0,1,2,2,0,1,2,0,5,4,3,0,1,1,2,13,6,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,0
50,101720,96855,54359,15730,757,5184,42,20783,4865,4377,1018,126,441,18,1404,132,85,19,656,26,2,163,17,166,104,441,207,38,10,71,6,2,17,3,10,16,5,4,10,0,12,4,0,12,14,0,36,11,0,20,2,1,1,0,0,0,0,0,0,1,0,0,10,6,1,0,3,0,0,1,1,101720,44156,57564,56199,39181,11432,146,5022,26,392,1365,1224,384,51,394,14,70,67,62,15,48,18,1,6,13,71,10,127,70,17,10,3,2,0,6,1,4,2,4,2,2,0,3,1,0,0,0,0,10,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
52,139307,130239,37395,35034,2243,9458,117,45992,9068,8374,1395,137,270,32,2979,296,181,103,1613,166,19,500,51,358,274,638,181,45,7,138,2,14,27,0,24,42,8,3,23,11,27,31,0,30,25,0,46,15,0,19,0,3,1,0,3,1,0,1,1,1,1,0,4,4,0,0,0,0,0,6,6,139307,90981,48326,46654,10034,26171,317,9156,33,943,1672,1551,284,29,205,21,67,142,147,76,159,121,4,33,47,187,29,110,24,24,1,6,1,8,0,0,2,0,5,2,5,8,14,2,0,6,2,0,11,8,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
60,104278,101803,66276,14998,558,12372,32,7567,2475,2331,333,73,479,56,618,118,67,16,303,49,6,36,5,142,30,123,65,13,1,9,3,0,4,5,4,2,0,1,0,1,7,2,0,1,3,2,18,8,0,4,4,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,1,104278,17423,86855,85553,59405,13401,183,12294,16,254,1302,1230,178,36,461,53,111,105,66,11,40,47,1,1,5,113,2,61,34,6,1,2,2,0,1,3,4,0,0,0,0,1,3,0,0,0,2,2,10,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0
61,159645,156825,121073,5940,299,24223,22,5268,2820,2690,312,83,1090,87,588,59,55,15,135,32,0,33,27,147,27,123,39,6,0,17,5,0,9,4,28,2,2,1,1,1,7,0,0,0,1,0,6,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,159645,13029,146616,144553,114720,5298,88,24107,14,326,2063,1993,237,64,1060,83,231,46,54,13,30,30,0,2,25,106,12,65,11,6,0,5,3,0,0,3,25,2,2,1,0,1,5,0,0,0,1,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
62,181981,178420,100902,1894,537,63153,156,11778,3561,3431,296,128,1261,67,1123,20,80,6,66,94,1,58,36,155,40,112,41,9,2,6,6,0,7,11,15,4,1,2,0,1,3,0,3,0,1,0,13,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,1,1,181981,24239,157742,155581,90741,1362,145,62901,47,385,2161,2093,201,83,1206,58,228,13,74,6,15,88,1,0,35,81,4,55,12,7,2,1,4,0,0,11,10,1,0,1,0,1,3,0,2,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1
